"# Resulting classification from model file : model-20170307-012530.pkl"
"Cours/soutiens scolaire-collège & lycée","lycée collège maths"
"Professeur de chimie - Collège & Lycée","chimie cours collège"
"Professeur de Maths - Collège au BTS","professeur expérimenté donne"
"Professeur de physique - Collège au BTS","professeur expérimenté donne"
"Cours de Maths - Collège & Lycée","lycée collège maths"
"Cours de physique-Collège & Lycée","lycée collège maths"
"Cours de couture","cours maths particuliers"
"Soutien scolaire en maths","scolaire soutien maths"
"Soutien scolaire lecture et écriture","scolaire soutien maths"
"Cours de chimie -Collège & Lycée","chimie cours collège"
"Cours de chimie organique - BTS & DUT","cours maths particuliers"
"Cours de Maths -Collège & Lycée","lycée collège maths"
"Cours de physique-Collège & Lycée","lycée collège maths"
"Cours de SVT -6e à la seconde","cours maths particuliers"
"Professeur expérimenté cours de français","professeur expérimenté donne"
"Professeur expérimenté donne cours ","professeur expérimenté donne"
"Professeur expérimenté- cours d'anglais","professeur expérimenté donne"
"dépannage pompe à chaleur air/eau air/ai","cours maths particuliers"
"installation pompe à chaleur air/air","cours maths particuliers"
"installation pompe à chaleur air/eau","cours maths particuliers"
"AIDE-SOUTIEN SCOLAIRE EN ANGLAIS","scolaire soutien maths"
"AIDE-SOUTIEN SCOLAIRE EN PHYSIQUE","scolaire soutien maths"
"Cours de  Français- Primaire, secondaire","français cours étrangers"
"Cours de Maths-Primaire, secondaire","cours maths particuliers"
"Cours d'espagnol - TOUS NIVEAUX","espagnol cours particuliers"
"Polytechnicien - Cours de Physique","physique cours particuliers"
"Polytechnicien- Cours de Maths","cours maths particuliers"
"Aide aux devoirs - Primaire","aide devoirs soutien"
"Cours particuliers de chimie","chimie cours collège"
"Cours particuliers de mathématiques","mathématiques cours particuliers"
"Cours particuliers de physique","physique cours particuliers"
"Cours particuliers de SVT","cours maths particuliers"
"Cours de Mathématiques ","mathématiques cours particuliers"
"Cours d'espagnol - élève du secondaire","espagnol cours particuliers"
"Cours de maths pour élève du secondaire","cours maths particuliers"
"Cours de physique - élève du secondaire","physique cours particuliers"
"Cours de SVT - élève du secondaire","cours maths particuliers"
"Professeur de Chimie-Collège au BTS","professeur expérimenté donne"
"Professeur de Maths - Collège au BTS","professeur expérimenté donne"
"Professeur de Physique-Collège au BTS","professeur expérimenté donne"
"Aide aux devoirs ","aide devoirs soutien"
"Cours particuliers en Anglais","anglais cours particuliers"
"Cours particuliers en Italien","cours maths particuliers"
"Cours, aide aux devoirs, électronique, électricité, physique","aide devoirs soutien"
"Cours de Sciences Economiques -Sociales","cours maths particuliers"
"Cours de Sociologie","cours maths particuliers"
"Cours d'Anglais-Tous niveaux","niveaux cours maths"
"Cours de Mathématiques à Domicile","mathématiques cours particuliers"
"Cours d'italien-Tous niveaux","niveaux cours maths"
"Cours de maths-Collège & Lycée","lycée collège maths"
"Cours de physique-Collège & Lycée","lycée collège maths"
"Coaching Scolaire","scolaire soutien maths"
"PROFESSEUR EXPÉRIMENTÉ FRANÇAIS ","professeur expérimenté donne"
"PROFESSEUR EXPÉRIMENTÉ PHILOSOPHIE ","professeur expérimenté donne"
"Cours particuliers de maths et/ou français","français cours étrangers"
"SOUTIEN SCOLAIRE ET AIDES AUX DEVOIRS","scolaire soutien maths"
"cherche professeur de langue","professeur expérimenté donne"
"PROFESSEUR-FORMATEUR","professeur expérimenté donne"
"PROFESSEUR-FORMATEUR","professeur expérimenté donne"
"Aide aux devoirs-toutes matières-Collège","aide devoirs soutien"
"CAP MOLIÈRE : Soutien scolaire","scolaire soutien maths"
"Cours de soutien de Français","français cours étrangers"
"Cours de soutien Histoire","histoire géographie cours"
"Cours de soutien Mathématique","scolaire soutien maths"
"Cours de soutien Mathématique","scolaire soutien maths"
"Cours de soutien physique, SVT","physique cours particuliers"
"Donne cours histoire-géographie","histoire géographie cours"
"Cours d'histoire - géographie","histoire géographie cours"
"Cours de français - du Primaire au Lycée","français cours étrangers"
"cours de français pour les étrangers","français cours étrangers"
"Cours particuliers de langue- Lycée","cours maths particuliers"
"Soutien, aide aux devoirs et révisions","aide devoirs soutien"
"Stage remise à niveau","cours maths particuliers"
"Aide à la rédaction de lettre","aide devoirs soutien"
"cours d'oenologie","cours maths particuliers"
"Donne cours de Piano","piano domicile cours"
"Soutien scolaire - 2nde, 1ere, Terminale","scolaire soutien maths"
"Soutien scolaire - 2nde, 1ere, Terminale","scolaire soutien maths"
"cours de français pour les étrangers","français cours étrangers"
"cours de français pour les étrangers","français cours étrangers"
"aide aux devoirs - Élève ingénieur ","aide devoirs soutien"
"Cours matières scientifiques","cours maths particuliers"
"Cours matières scientifiques","cours maths particuliers"
"cours d'anglais tous niveaux","niveaux cours maths"
"Cours d'économie - Lycée","cours maths particuliers"
"Cours de maths - Lycée","lycée collège maths"
" cours de Philosophie-Français","français cours étrangers"
"Aide aux devoirs","aide devoirs soutien"
"Cours de Maths tous niveaux","niveaux cours maths"
"Cours Physique chimie/SVT tous niveaux","niveaux cours maths"
"Etudiant donne cours de Français","français cours étrangers"
"Etudiant donne cours de Histoire-Géo","cours maths particuliers"
